cn,indeg_in_subgraph,depth,arxiv_id,doi,inspire_url,title
828163,15,3,0908.1283,10.1209/0295-5075/88/61001,https://inspirehep.net/literature/828163,"Intrinsic quark transverse momentum in the nucleon from lattice QCD"
890521,15,3,1102.4704,10.1007/JHEP05(2011)041,https://inspirehep.net/literature/890521,"Unified framework for generalized and transverse-momentum dependent parton distributions within a 3Q light-cone picture of the nucleon"
780755,15,4,0803.0678,"",https://inspirehep.net/literature/780755,"Standard Model Handles and Candles Working Group: Tools and Jets Summary Report"
849050,15,4,1003.3124,10.1016/j.physletb.2010.03.064,https://inspirehep.net/literature/849050,"Charged-particle multiplicities in $pp$ interactions at $\sqrt{s}=900$ GeV measured with the ATLAS detector at the LHC"
757572,14,1,0708.0578,10.1103/PhysRevD.76.074006,https://inspirehep.net/literature/757572,"Transverse momentum dependence of the angular distribution of the Drell-Yan process"
852527,14,1,1004.3697,10.1016/j.nuclphysb.2010.07.013,https://inspirehep.net/literature/852527,"Wilson lines in transverse-momentum dependent parton distribution functions with spin degrees of freedom"
700934,14,3,hep-ph/0512249,10.1016/j.nuclphysb.2006.04.008,https://inspirehep.net/literature/700934,"On Sudakov and soft resummations in QCD"
752237,14,3,0706.0459,10.1016/j.physletb.2007.07.040,https://inspirehep.net/literature/752237,"Update of parton distributions at NNLO"
683352,14,4,hep-ph/0505214,10.1103/PhysRevD.72.054027,https://inspirehep.net/literature/683352,"Direct extraction of transversity and its accompanying T-odd distribution from the unpolarized and single-polarized Drell-Yan process"
856131,14,4,0908.3914,10.1016/j.physletb.2010.06.043,https://inspirehep.net/literature/856131,"Measurement of $d\sigma/dy$ of Drell-Yan $e^+e^-$ pairs in the $Z$ Mass Region from $p\bar{p}$ Collisions at $\sqrt{s}=1.96$ TeV"
882098,14,4,1012.5104,10.1088/1367-2630/13/5/053033,https://inspirehep.net/literature/882098,"Charged-particle multiplicities in pp interactions measured with the ATLAS detector at the LHC"
