cn,indeg_in_subgraph,outdeg_in_subgraph,total_internal_citations,depth,arxiv_id,doi,inspire_url,title
838370,8,0,8,2,0911.5493,10.1140/epja/i2013-13042-7,,Effects of azimuth-symmetric acceptance cutoffs on the measured asymmetry in unpolarized Drell-Yan fixed target experiments
873616,8,1,9,2,1010.4463,10.1142/S0217751X1250008X,,On correlations in high-energy hadronic processes and the CMS ridge: A manifestation of quantum entanglement?
892005,8,0,8,2,1103.2084,10.1103/PhysRevD.84.034038,,Polarized and unpolarized Drell-Yan angular distribution in the helicity formalism
901427,8,6,14,2,1105.5171,10.1103/PhysRevD.84.094014,,An Exclusive Soft Function for Drell-Yan at Next-to-Next-to-Leading Order
902298,8,6,14,2,1106.0266,10.1103/PhysRevLett.107.152002,,QCD Resummation for Single Spin Asymmetries
924716,8,0,8,2,1108.4612,,,Wilson lines in the operator definition of TMDs: Spin degrees of freedom and renormalization
941555,8,8,16,3,1110.4973,10.1103/PhysRevD.85.032002,,Measurement of the Rapidity and Transverse Momentum Distributions of $Z$ Bosons in $pp$ Collisions at $\sqrt{s}=7$ TeV
946813,8,15,23,2,1111.4996,10.1007/JHEP07(2012)002,,Factorization Theorem For Drell-Yan At Low $q_T$ And Transverse Momentum Distributions On-The-Light-Cone
1093733,8,3,11,4,1203.3087,10.1103/PhysRevC.86.014907,,Measurement of the azimuthal anisotropy for charged particle production in $\sqrt{s_{NN}}=2.76$ TeV lead-lead collisions with the ATLAS detector
1094890,8,2,10,2,1203.5773,10.1007/JHEP06(2012)159,,NLL+NNLO predictions for jet-veto efficiencies in Higgs-boson and Drell-Yan production
1115192,8,0,8,2,1205.3806,10.1007/JHEP07(2012)108,,Factorization and NNLL Resummation for Higgs Production with a Jet Veto
1128034,8,3,11,3,1208.3642,10.1103/PhysRevD.86.094007,,Polarized gluon studies with charmonium and bottomonium at LHCb and AFTER
1204355,8,0,8,3,,,,Measurement of the inclusive jet cross section in pp collisions at $\sqrt{s}=2.76$TeV and comparison to the inclusive jet cross section at $\sqrt{s}=7$TeV using the ATLAS detector
1597604,8,0,8,2,,,,Measurement of Collins asymmetries in inclusive production of pion pairs at $BaBar$
